"GAS_FLOW_DAY","GEO_LOCATION","CWV"
15/07/2019,"WM",14.49
16/07/2019,"SC",14.38
16/07/2019,"WM",14.82
17/07/2019,"SC",13.74
17/07/2019,"WM",14.9
18/07/2019,"SC",13.73
18/07/2019,"WM",14.68
19/07/2019,"SC",13.75
19/07/2019,"WM",14.32
20/07/2019,"SC",13.92
20/07/2019,"WM",14.61
21/07/2019,"SC",13.86
21/07/2019,"WM",14.78
22/07/2019,"SC",14.51
22/07/2019,"WM",14.9
23/07/2019,"SC",14.53
23/07/2019,"WM",14.9
24/07/2019,"SC",14.53
24/07/2019,"WM",14.9
25/07/2019,"SC",14.53
25/07/2019,"WM",14.9
26/07/2019,"SC",14.53
26/07/2019,"WM",14.9
27/07/2019,"SC",14.49
27/07/2019,"WM",14.9
28/07/2019,"SC",14.53
28/07/2019,"WM",14.25
29/07/2019,"SC",14.38
29/07/2019,"WM",14.9
30/07/2019,"SC",14.49
30/07/2019,"WM",14.53
31/07/2019,"SC",14.53
31/07/2019,"WM",14.46
01/08/2019,"SC",14.53
01/08/2019,"WM",14.69
02/08/2019,"SC",14.53
02/08/2019,"WM",14.9
03/08/2019,"SC",14.53
03/08/2019,"WM",14.9
04/08/2019,"SC",14.53
04/08/2019,"WM",14.9
05/08/2019,"SC",14.4
05/08/2019,"WM",14.9
06/08/2019,"SC",14.05
06/08/2019,"WM",14.79
07/08/2019,"SC",14.05
07/08/2019,"WM",14.8
08/08/2019,"SC",14.17
08/08/2019,"WM",14.9
09/08/2019,"SC",14.01
09/08/2019,"WM",14.9
10/08/2019,"SC",14.37
10/08/2019,"WM",14.73
11/08/2019,"SC",13.42
11/08/2019,"WM",14.52
12/08/2019,"SC",12.92
12/08/2019,"WM",14.17
13/08/2019,"SC",13.04
13/08/2019,"WM",14.22
14/08/2019,"SC",12.82
14/08/2019,"WM",14.01
15/08/2019,"SC",13.25
15/08/2019,"WM",14.19
16/08/2019,"SC",13.55
16/08/2019,"WM",13.99
17/08/2019,"SC",13.35
17/08/2019,"WM",14.32
18/08/2019,"SC",13.22
18/08/2019,"WM",14.3
19/08/2019,"SC",13.32
19/08/2019,"WM",14.18
20/08/2019,"SC",13.27
20/08/2019,"WM",14.16
21/08/2019,"SC",13.11
21/08/2019,"WM",14.38
22/08/2019,"SC",13.36
22/08/2019,"WM",14.53
23/08/2019,"SC",13.85
23/08/2019,"WM",14.85
24/08/2019,"SC",14.33
24/08/2019,"WM",14.9
25/08/2019,"SC",14.53
25/08/2019,"WM",14.9
26/08/2019,"SC",14.5
26/08/2019,"WM",14.9
27/08/2019,"SC",14.15
27/08/2019,"WM",14.9
28/08/2019,"SC",13.8
28/08/2019,"WM",14.65
29/08/2019,"SC",13.39
29/08/2019,"WM",14.41
30/08/2019,"SC",13.44
30/08/2019,"WM",14.69
31/08/2019,"SC",13.2
31/08/2019,"WM",14.3
01/09/2019,"SC",12.85
01/09/2019,"WM",13.91
02/09/2019,"SC",12.65
02/09/2019,"WM",13.99
03/09/2019,"SC",12.98
03/09/2019,"WM",14.25
04/09/2019,"SC",12.52
04/09/2019,"WM",13.99
05/09/2019,"SC",12.6
05/09/2019,"WM",13.66
06/09/2019,"SC",12.58
06/09/2019,"WM",13.61
07/09/2019,"SC",12.37
07/09/2019,"WM",13.45
08/09/2019,"SC",11.92
08/09/2019,"WM",13.36
09/09/2019,"SC",12.38
09/09/2019,"WM",12.7
10/09/2019,"SC",12.42
10/09/2019,"WM",13.55
11/09/2019,"SC",12.76
11/09/2019,"WM",14.02
12/09/2019,"SC",12.64
12/09/2019,"WM",14.22
13/09/2019,"SC",12.51
13/09/2019,"WM",13.79
14/09/2019,"SC",12.56
14/09/2019,"WM",13.87
15/09/2019,"SC",12.19
15/09/2019,"WM",14.14
16/09/2019,"SC",11.78
16/09/2019,"WM",13.65
17/09/2019,"SC",11.64
17/09/2019,"WM",13.46
18/09/2019,"SC",12.33
18/09/2019,"WM",13.41
19/09/2019,"SC",12.66
19/09/2019,"WM",13.62
20/09/2019,"SC",12.92
20/09/2019,"WM",13.7
21/09/2019,"SC",13.39
21/09/2019,"WM",14.19
22/09/2019,"SC",13.07
22/09/2019,"WM",13.96
23/09/2019,"SC",13.09
23/09/2019,"WM",13.81
24/09/2019,"SC",13.34
24/09/2019,"WM",13.78
25/09/2019,"SC",13.29
25/09/2019,"WM",13.83
26/09/2019,"SC",12.81
26/09/2019,"WM",13.77
27/09/2019,"SC",12.01
27/09/2019,"WM",12.87
28/09/2019,"SC",11.71
28/09/2019,"WM",13.34
29/09/2019,"SC",11.81
29/09/2019,"WM",13.16
30/09/2019,"SC",11.14
30/09/2019,"WM",12.74
01/10/2019,"SC",9.85
01/10/2019,"WM",11.8
02/10/2019,"SC",9.16
02/10/2019,"WM",10.05
03/10/2019,"SC",7.89
03/10/2019,"WM",9.32
04/10/2019,"SC",9.23
04/10/2019,"WM",11.05
05/10/2019,"SC",9.45
05/10/2019,"WM",11.45
06/10/2019,"SC",9.58
06/10/2019,"WM",11.82
07/10/2019,"SC",10.46
07/10/2019,"WM",11.21
08/10/2019,"SC",9.69
08/10/2019,"WM",11.12
09/10/2019,"SC",9.54
09/10/2019,"WM",10.59
10/10/2019,"SC",9.74
10/10/2019,"WM",11.08
11/10/2019,"SC",9.98
11/10/2019,"WM",11.31
12/10/2019,"SC",9.63
12/10/2019,"WM",11.29
13/10/2019,"SC",8.79
13/10/2019,"WM",10.15
14/10/2019,"SC",9.06
14/10/2019,"WM",9.52
15/10/2019,"SC",9.11
15/10/2019,"WM",9.8
16/10/2019,"SC",8.87
16/10/2019,"WM",9.67
17/10/2019,"SC",8.44
17/10/2019,"WM",9.33
18/10/2019,"SC",8.82
18/10/2019,"WM",8.64
19/10/2019,"SC",8.6
19/10/2019,"WM",9.26
20/10/2019,"SC",7.94
20/10/2019,"WM",8.42
21/10/2019,"SC",6.84
21/10/2019,"WM",8.75
22/10/2019,"SC",7.89
22/10/2019,"WM",8.84
23/10/2019,"SC",8.94
23/10/2019,"WM",8.92
24/10/2019,"SC",8.15
24/10/2019,"WM",8.85
25/10/2019,"SC",6.34
25/10/2019,"WM",9.19
26/10/2019,"SC",6.19
26/10/2019,"WM",6.97
27/10/2019,"SC",6.05
27/10/2019,"WM",7.02
28/10/2019,"SC",5.53
28/10/2019,"WM",5.97
29/10/2019,"SC",5.47
29/10/2019,"WM",6.02
30/10/2019,"SC",5.16
30/10/2019,"WM",6.16
31/10/2019,"SC",5.33
31/10/2019,"WM",6.5
01/11/2019,"SC",6.2
01/11/2019,"WM",8.42
02/11/2019,"SC",7.34
02/11/2019,"WM",7.98
03/11/2019,"SC",7.34
03/11/2019,"WM",8.08
04/11/2019,"SC",6.98
04/11/2019,"WM",7.79
05/11/2019,"SC",6.92
05/11/2019,"WM",6.88
06/11/2019,"SC",5.29
06/11/2019,"WM",6.06
07/11/2019,"SC",4.58
07/11/2019,"WM",6.05
08/11/2019,"SC",4.12
08/11/2019,"WM",5.04
09/11/2019,"SC",3.08
09/11/2019,"WM",3.21
10/11/2019,"SC",3.23
10/11/2019,"WM",4.59
11/11/2019,"SC",3.11
11/11/2019,"WM",4.52
12/11/2019,"SC",3.9
12/11/2019,"WM",4.56
13/11/2019,"SC",2.98
13/11/2019,"WM",4.53
14/11/2019,"SC",2.57
14/11/2019,"WM",2.54
15/11/2019,"SC",3.42
15/11/2019,"WM",4.16
16/11/2019,"SC",3.29
16/11/2019,"WM",5.76
17/11/2019,"SC",2.85
17/11/2019,"WM",5.15
18/11/2019,"SC",1.27
18/11/2019,"WM",4.2
19/11/2019,"SC",0.95
19/11/2019,"WM",3.43
20/11/2019,"SC",1.95
20/11/2019,"WM",3.33
21/11/2019,"SC",2.92
21/11/2019,"WM",2.76
22/11/2019,"SC",3.62
22/11/2019,"WM",4.43
23/11/2019,"SC",5.16
23/11/2019,"WM",5.44
24/11/2019,"SC",5.9
24/11/2019,"WM",6.23
25/11/2019,"SC",5.8
25/11/2019,"WM",6.77
26/11/2019,"SC",6.15
26/11/2019,"WM",7.26
27/11/2019,"SC",6.21
27/11/2019,"WM",6.72
28/11/2019,"SC",4.71
28/11/2019,"WM",5.9
29/11/2019,"SC",2.91
29/11/2019,"WM",3.9
30/11/2019,"SC",1.14
30/11/2019,"WM",2.09
01/12/2019,"SC",0.18
01/12/2019,"WM",1.72
02/12/2019,"SC",2.52
02/12/2019,"WM",2.55
03/12/2019,"SC",3.66
03/12/2019,"WM",3.04
04/12/2019,"SC",3.92
04/12/2019,"WM",2.97
05/12/2019,"SC",4.87
05/12/2019,"WM",3.49
06/12/2019,"SC",6.15
06/12/2019,"WM",5.81
07/12/2019,"SC",5.69
07/12/2019,"WM",6.01
08/12/2019,"SC",4.23
08/12/2019,"WM",5.59
09/12/2019,"SC",4.04
09/12/2019,"WM",4.57
10/12/2019,"SC",3.83
10/12/2019,"WM",4.45
11/12/2019,"SC",3.37
11/12/2019,"WM",3.31
12/12/2019,"SC",2.82
12/12/2019,"WM",3.13
13/12/2019,"SC",2.4
13/12/2019,"WM",3.58
14/12/2019,"SC",1.7
14/12/2019,"WM",3.62
15/12/2019,"SC",2.13
15/12/2019,"WM",2.84
16/12/2019,"SC",2
16/12/2019,"WM",2.99
17/12/2019,"SC",2.44
17/12/2019,"WM",1.72
18/12/2019,"SC",1.23
18/12/2019,"WM",2.55
19/12/2019,"SC",4.06
19/12/2019,"WM",5.24
20/12/2019,"SC",4.33
20/12/2019,"WM",4.26
21/12/2019,"SC",4.05
21/12/2019,"WM",4.77
22/12/2019,"SC",3.67
22/12/2019,"WM",4.67
23/12/2019,"SC",3.91
23/12/2019,"WM",4.77
24/12/2019,"SC",3.82
24/12/2019,"WM",5.17
25/12/2019,"SC",3.94
25/12/2019,"WM",3.96
26/12/2019,"SC",3.07
26/12/2019,"WM",3.26
27/12/2019,"SC",4.41
27/12/2019,"WM",3.87
28/12/2019,"SC",5.47
28/12/2019,"WM",4.88
29/12/2019,"SC",6.11
29/12/2019,"WM",4.71
30/12/2019,"SC",5.19
30/12/2019,"WM",4.72
31/12/2019,"SC",3.25
31/12/2019,"WM",4.73
01/01/2020,"SC",3.43
01/01/2020,"WM",4.35
02/01/2020,"SC",4.04
02/01/2020,"WM",4.83
03/01/2020,"SC",4.06
03/01/2020,"WM",4.52
04/01/2020,"SC",4.93
04/01/2020,"WM",4.9
05/01/2020,"SC",5.08
05/01/2020,"WM",4.75
06/01/2020,"SC",5.07
06/01/2020,"WM",4.22
07/01/2020,"SC",5.54
07/01/2020,"WM",5.56
08/01/2020,"SC",4.28
08/01/2020,"WM",6.26
09/01/2020,"SC",3.1
09/01/2020,"WM",5.35
10/01/2020,"SC",2.18
10/01/2020,"WM",4.65
11/01/2020,"SC",3.87
11/01/2020,"WM",4.84
12/01/2020,"SC",3.46
12/01/2020,"WM",5.44
13/01/2020,"SC",2.38
13/01/2020,"WM",4.3
14/01/2020,"SC",2.33
14/01/2020,"WM",4.96
15/01/2020,"SC",3.3
15/01/2020,"WM",4.75
16/01/2020,"SC",3.74
16/01/2020,"WM",5.01
17/01/2020,"SC",3.07
17/01/2020,"WM",4.12
18/01/2020,"SC",3.01
18/01/2020,"WM",3.43
19/01/2020,"SC",2.87
19/01/2020,"WM",2.25
20/01/2020,"SC",3.62
20/01/2020,"WM",1.88
21/01/2020,"SC",5.24
21/01/2020,"WM",2.74
22/01/2020,"SC",6.24
22/01/2020,"WM",4.75
23/01/2020,"SC",5.61
23/01/2020,"WM",4.42
24/01/2020,"SC",5.57
24/01/2020,"WM",4.21
25/01/2020,"SC",4.81
25/01/2020,"WM",3.57
26/01/2020,"SC",3.54
26/01/2020,"WM",4.19
27/01/2020,"SC",2.6
27/01/2020,"WM",3.72
28/01/2020,"SC",2
28/01/2020,"WM",2.93
29/01/2020,"SC",2.68
29/01/2020,"WM",3.98
30/01/2020,"SC",3.86
30/01/2020,"WM",4.94
31/01/2020,"SC",5.41
31/01/2020,"WM",6.1
01/02/2020,"SC",4.74
01/02/2020,"WM",6.27
02/02/2020,"SC",3.84
02/02/2020,"WM",6.48
03/02/2020,"SC",2.76
03/02/2020,"WM",5.34
04/02/2020,"SC",4.33
04/02/2020,"WM",4.79
05/02/2020,"SC",4.48
05/02/2020,"WM",4.61
06/02/2020,"SC",4.36
06/02/2020,"WM",3.63
07/02/2020,"SC",3.45
07/02/2020,"WM",3.39
08/02/2020,"SC",3.15
08/02/2020,"WM",4.18
09/02/2020,"SC",3.68
09/02/2020,"WM",5.06
10/02/2020,"SC",1.85
10/02/2020,"WM",3.09
11/02/2020,"SC",1.24
11/02/2020,"WM",2.32
12/02/2020,"SC",1.86
12/02/2020,"WM",3.05
13/02/2020,"SC",1.95
13/02/2020,"WM",3.72
