"SITE_REFERENCE","GAS_FLOW_DAY","ENERGY_VALUE"
"SC01",07/10/2019,0
"SC01",08/10/2019,0
"SC01",09/10/2019,0
"SC01",10/10/2019,11.27
"SC01",11/10/2019,11.27
"SC01",12/10/2019,0
"SC01",13/10/2019,11.27
"SC01",14/10/2019,0
"SC01",15/10/2019,0
"SC01",16/10/2019,0
"SC01",17/10/2019,0
"SC01",18/10/2019,0
"SC01",19/10/2019,0
"SC01",20/10/2019,0
"SC01",21/10/2019,0
"SC01",22/10/2019,0
"SC01",23/10/2019,0
"SC01",24/10/2019,0
"SC01",25/10/2019,0
"SC01",26/10/2019,0
"SC01",27/10/2019,0
"SC01",28/10/2019,0
"SC01",29/10/2019,0
"SC01",30/10/2019,0
"SC01",31/10/2019,0
"SC01",01/11/2019,0
"SC01",02/11/2019,0
"SC01",03/11/2019,0
"SC01",04/11/2019,0
"SC01",05/11/2019,0
"SC01",06/11/2019,0
"SC01",07/11/2019,0
"SC01",08/11/2019,0
"SC01",09/11/2019,0
"SC01",10/11/2019,0
"SC01",11/11/2019,0
"SC01",12/11/2019,0
"SC01",13/11/2019,11.27
"SC01",14/11/2019,11.3
"SC01",15/11/2019,56.81
"SC01",16/11/2019,56.81
"SC01",17/11/2019,56.67
"SC01",18/11/2019,45.51
"SC01",19/11/2019,56.53
"SC01",20/11/2019,79.13
"SC01",21/11/2019,45.17
"SC01",22/11/2019,56.24
"SC01",22/11/2019,48.7
"SC01",24/11/2019,102.39
"SC01",25/11/2019,45.4
"SC01",26/11/2019,22.92
"SC01",27/11/2019,34.22
"SC01",28/11/2019,45.4
"SC01",29/11/2019,56.67
"SC01",30/11/2019,79.73
"SC01",01/12/2019,68.6
"SC01",02/12/2019,45.63
"SC01",03/12/2019,56.95
"SC01",04/12/2019,56.81
"SC01",05/12/2019,0
"SC01",06/12/2019,0
"SC01",07/12/2019,0
"SC01",08/12/2019,34.04
"SC01",09/12/2019,0
"SC01",10/12/2019,0
"SC01",11/12/2019,0
"SC01",12/12/2019,0
"SC01",13/12/2019,0
"SC01",14/12/2019,0
"SC01",15/12/2019,0
"SC01",16/12/2019,0
"SC01",17/12/2019,0
"SC01",18/12/2019,0
"SC01",19/12/2019,0
"SC01",20/12/2019,22.86
"SC01",21/12/2019,56.67
"SC01",22/12/2019,56.67
"SC01",23/12/2019,56.53
"SC01",24/12/2019,68.09
"SC01",25/12/2019,45.4
"SC01",26/12/2019,0
"SC01",27/12/2019,102.39
"SC01",28/12/2019,56.67
"SC01",29/12/2019,34.13
"SC01",30/12/2019,22.8
"SC01",31/12/2019,67.92
"SC01",01/01/2020,56.39
"SC01",02/01/2020,56.24
"SC01",03/01/2020,67.41
"SC01",04/01/2020,22.63
"SC01",05/01/2020,79.13
"SC01",06/01/2020,45.06
"SC01",07/01/2020,67.75
"SC01",08/01/2020,22.69
"SC01",09/01/2020,56.24
"SC01",10/01/2020,67.58
"SC01",11/01/2020,56.24
"SC01",12/01/2020,68.09
"SC01",12/01/2020,56.67
"SC01",14/01/2020,79.53
"SC01",15/01/2020,34.13
"SC01",16/01/2020,0
"SC01",17/01/2020,0
"SC01",18/01/2020,0
"SC01",19/01/2020,0
"SC01",20/01/2020,0
"SC01",21/01/2020,0
"SC01",22/01/2020,0
"SC01",22/01/2020,0
"SC01",24/01/2020,0
"SC01",25/01/2020,0
"SC01",26/01/2020,0
"SC01",27/01/2020,0
"SC01",28/01/2020,0
"SC01",29/01/2020,0
"SC01",30/01/2020,0
"SC01",31/01/2020,0
"SC01",01/02/2020,0
"SC01",02/02/2020,0
"SC01",03/02/2020,0
"SC01",04/02/2020,0
"SC01",05/02/2020,0
"SC01",06/02/2020,0
"SC01",07/02/2020,0
"SC01",08/02/2020,0
"SC01",09/02/2020,0
"SC01",10/02/2020,0
"SC01",11/02/2020,67.58
"SC01",12/02/2020,89.66
"SC01",13/02/2020,78.34
"SC01",14/02/2020,89.21
"SC01",15/02/2020,55.82
"SC01",16/02/2020,89.44
"SC01",17/02/2020,66.89
"SC01",18/02/2020,22.46
"SC01",19/02/2020,22.46
"SC01",20/02/2020,66.89
"SC01",21/02/2020,55.54
"SC01",22/02/2020,77.94
"SC01",23/02/2020,55.68
"SC01",24/02/2020,67.24
"SC01",25/02/2020,67.58
"SC01",26/02/2020,78.73
"SC01",27/02/2020,33.79
"SC01",28/02/2020,100.34
"SC01",29/02/2020,56.81
"SC01",01/03/2020,79.73
"SC01",02/03/2020,34.13
"SC01",03/03/2020,90.8
"SC01",04/03/2020,11.3
"SC01",05/03/2020,79.73
"SC01",06/03/2020,56.81
"SC01",07/03/2020,68.43
"SC01",08/03/2020,56.81
"SC01",09/03/2020,34.13
"SC01",10/03/2020,0
"SC01",11/03/2020,33.87
"SC01",12/03/2020,0
"SC01",13/03/2020,0
"SC01",14/03/2020,0
"SC01",15/03/2020,0
"SC01",16/03/2020,0
"SC01",17/03/2020,0
"SC01",18/03/2020,0
"SC01",19/03/2020,0
"SC01",20/03/2020,0
"SC01",21/03/2020,0
"SC01",22/03/2020,0
"SC01",23/03/2020,0
"SC01",24/03/2020,0
"SC01",25/03/2020,0
"SC01",26/03/2020,0
"SC01",27/03/2020,0
"SC01",28/03/2020,0
"SC01",29/03/2020,0
"SC01",30/03/2020,0
"SC01",31/03/2020,0
"SC02",01/04/2019,27.77
"SC02",02/04/2019,27.31
"SC02",03/04/2019,31.71
"SC02",04/04/2019,19.73
"SC02",05/04/2019,23.42
"SC02",06/04/2019,22.86
"SC02",07/04/2019,21.55
"SC02",08/04/2019,17.49
"SC02",09/04/2019,21.61
"SC02",10/04/2019,28.49
"SC02",11/04/2019,25.11
"SC02",12/04/2019,30.37
"SC02",13/04/2019,21.92
"SC02",14/04/2019,26.3
"SC02",15/04/2019,34.13
"SC02",16/04/2019,28.04
"SC02",17/04/2019,19.99
"SC02",18/04/2019,15.03
"SC02",19/04/2019,12.53
"SC02",20/04/2019,14.4
"SC02",21/04/2019,10.65
"SC02",22/04/2019,10.99
"SC02",23/04/2019,11.3
"SC02",24/04/2019,15.07
"SC02",25/04/2019,13.78
"SC02",26/04/2019,16.6
"SC02",27/04/2019,16.64
"SC02",28/04/2019,10.67
"SC02",29/04/2019,11.3
"SC02",30/04/2019,13.81
"SC02",01/05/2019,18.21
"SC02",02/05/2019,21.98
"SC02",03/05/2019,31.08
"SC02",04/05/2019,24.49
"SC02",05/05/2019,23.8
"SC02",06/05/2019,27.24
"SC02",07/05/2019,25.99
"SC02",08/05/2019,18.47
"SC02",09/05/2019,26.93
"SC02",10/05/2019,19.41
"SC02",11/05/2019,19.73
"SC02",12/05/2019,10.96
"SC02",13/05/2019,10.02
"SC02",14/05/2019,9.37
"SC02",15/05/2019,9.68
"SC02",16/05/2019,10.93
"SC02",17/05/2019,12.18
"SC02",18/05/2019,11.24
"SC02",19/05/2019,9.68
"SC02",20/05/2019,9.39
"SC02",21/05/2019,11.27
"SC02",22/05/2019,10.67
"SC02",23/05/2019,13.07
"SC02",24/05/2019,13.17
"SC02",25/05/2019,14.13
"SC02",26/05/2019,13.35
"SC02",27/05/2019,17.22
"SC02",28/05/2019,12.81
"SC02",29/05/2019,11.21
"SC02",30/05/2019,16.55
"SC02",31/05/2019,13.74
"SC02",01/06/2019,11.56
"SC02",02/06/2019,10.96
"SC02",03/06/2019,8.22
"SC02",04/06/2019,10.02
"SC02",05/06/2019,8.77
"SC02",06/06/2019,9.76
"SC02",07/06/2019,10.76
"SC02",08/06/2019,11.45
"SC02",09/06/2019,9.83
"SC02",10/06/2019,9.27
"SC02",11/06/2019,10.87
"SC02",12/06/2019,19.08
"SC02",13/06/2019,11.42
"SC02",14/06/2019,11.39
"SC02",15/06/2019,10.7
"SC02",16/06/2019,10.02
"SC02",17/06/2019,8.77
"SC02",18/06/2019,8.77
"SC02",19/06/2019,8.5
"SC02",20/06/2019,10.05
"SC02",21/06/2019,6.91
"SC02",22/06/2019,5.02
"SC02",23/06/2019,4.7
"SC02",24/06/2019,7.81
"SC02",25/06/2019,9.68
"SC02",26/06/2019,8.7
"SC02",27/06/2019,7.48
"SC02",28/06/2019,8.74
"SC02",29/06/2019,8.43
"SC02",30/06/2019,6.89
"SC02",01/07/2019,7.24
"SC02",02/07/2019,6.25
"SC02",03/07/2019,7.16
"SC02",04/07/2019,7.48
"SC02",05/07/2019,8.72
"SC02",06/07/2019,8.48
"SC02",07/07/2019,9.39
"SC02",08/07/2019,6.25
"SC02",09/07/2019,6.56
"SC02",10/07/2019,6.87
"SC02",11/07/2019,7.46
"SC02",12/07/2019,8.41
"SC02",13/07/2019,6.87
"SC02",14/07/2019,6.25
"SC02",15/07/2019,6.25
"SC02",16/07/2019,6.23
"SC02",17/07/2019,7.18
"SC02",18/07/2019,6.85
